Nama Wisata,Escape,Relaxation,Play,Strenghthening family bonds,Prestige,Social Interaction,Romance,Educational Opportunity,Self-fulfilment,Wish-fulfiment,Lingkungan,Infrastruktur,Fasilitas,Akomodasi,Aktivitas Wisata,Makan Bersama,Berolahraga,Belajar,Berinteraksi dengan satwa,Mengambil Foto,Beribadah,Berkemah,Melihat Pemandangan,Berbelanja,Tunjungan Plaza
Tunjungan Plaza,1,1,1,1,1,1,1,1,1,0,1,1,1,1,"Makan Bersama, Berolahraga, Mengambil Foto, Beribadah, Berbelanja",1,1,0,0,1,1,0,0,1,1
Tunjungan Plaza,1,1,1,1,1,1,1,0,0,1,1,1,1,1,"Makan Bersama, Mengambil Foto, Beribadah, Berbelanja",1,0,0,0,1,1,0,0,1,1
Tunjungan Plaza,1,0,1,1,1,1,1,0,0,0,1,1,1,1,"Makan Bersama, Belajar, Mengambil Foto, Berbelanja",1,0,1,0,1,0,0,0,1,1
Tunjungan Plaza,1,1,1,1,0,0,1,1,1,0,1,1,1,1,"Makan Bersama, Mengambil Foto, Berbelanja",1,0,0,0,1,0,0,0,1,1
Tunjungan Plaza,1,1,1,1,0,1,1,0,0,0,1,1,0,0,"Makan Bersama, Berolahraga, Mengambil Foto, Berbelanja",1,1,0,0,1,0,0,0,1,1
Tunjungan Plaza,1,1,1,1,1,1,0,1,1,0,1,1,1,1,"Makan, Belajar, Mengambil Foto",1,0,1,0,1,0,0,0,0,1
Tunjungan Plaza,1,0,1,1,1,1,0,1,0,0,1,1,1,1,Belajar,0,0,1,0,0,0,0,0,0,1
Tunjungan Plaza,1,0,1,1,0,0,1,0,0,1,1,1,1,1,"Makan, Belajar",1,0,1,0,0,0,0,0,0,1
Tunjungan Plaza,1,1,0,1,1,1,0,1,1,1,1,1,1,1,Belajar,0,0,1,0,0,0,0,0,0,1
Tunjungan Plaza,1,1,1,1,1,1,0,1,1,0,1,1,1,1,"Belajar, Mengambil Foto",0,0,1,0,1,0,0,0,0,1
Tunjungan Plaza,1,1,0,1,1,1,0,1,1,1,1,1,1,1,Belajar,0,0,1,0,0,0,0,0,0,1
Tunjungan Plaza,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Belajar, Mengambil Foto",0,0,1,0,1,0,0,0,0,1
Tunjungan Plaza,1,1,1,1,0,0,1,1,1,0,1,1,1,1,"Belajar, Mengambil Foto",0,0,1,0,1,0,0,0,0,1
Tunjungan Plaza,1,1,1,1,1,1,1,0,1,1,1,1,0,1,Mengambil Foto,0,0,0,0,1,0,0,0,0,1
Tunjungan Plaza,1,1,1,1,1,1,1,1,1,1,1,1,0,1,"Belajar, Mengambil Foto",0,0,1,0,1,0,0,0,0,1
